ResponseID,Career,ProgramDescr,Major,DormFlag,Q1.a,Q1.b,Q1.c,Q1.d,Q1.e,Q1.f,Q1.g,Q2.a,Q2.b,Q2.c,Q2.d,Q2.e,Q2.f,Q2.g,Q2.h,Q2.i,Q3.a,Q3.b,Q3.c,Q3.d,Q3.e,Q3.f,Q3.g,Q3.h,Q4.1.a,Q4.1.b,Q4.1.c,Q4.1.d,Q4.2,Q4.3,Q4.4,Q4.5.a,Q4.5.b,Q4.5.c,Q4.5.d,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5
R_3nDx1B7vzoW3ru4,LAW,Juris Master,Juris Master,2,7,6,2,7,3,3,1,3,7,4,2,4,5,7,4,1,7,5,7,4,4,7,5,2,2,2,5,3,5,5,2,5,5,5,1,2,5,4,3,2
R_12KKo5mvMqLpp37,UCOL,Non-Degree Emory College,Special Standing Student,2,7,7,6,5,6,4,2,6,7,7,6,7,7,7,6,7,6,6,7,6,7,4,7,6,3,3,2,4,4,4,4,1,1,1,2,2,2,2,6,2
R_0qaDynuwqZ2z1Xv,LAW,Juris Master,Juris Master,2,5,5,5,1,2,2,2,6,6,6,6,6,6,5,6,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,,2,6,7,3,2
R_4ZRYYlGqTxYAvvn,GSAS,Doctor of Philosophy,Anthropology,2,5,4,1,3,3,1,1,4,4,4,7,4,2,2,2,2,4,5,4,2,2,4,1,4,3,3,3,2,3,3,1,3,3,3,1,2,7,7,,2
R_2i4JincPKRVZKvj,GSAS,Master of Arts,Bioethics,2,5,6,6,1,4,1,1,6,7,7,6,6,5,7,6,5,5,6,7,6,6,6,6,6,4,4,3,5,3,3,3,5,5,4,3,2,2,2,1,1
R_3mDHzGYIUZ8Fimd,PUBH,Master of Public Health,Applied Pub Health Informatics,2,5,7,3,5,3,1,1,5,7,5,1,5,3,7,5,3,4,7,7,4,6,4,4,7,4,4,4,4,5,5,3,5,5,5,3,2,4,3,,2
R_81c5yPbKTLASf6R,PUBH,Master of Public Health,Prevention Science,2,7,7,7,1,6,1,1,7,7,7,4,7,6,7,7,6,7,7,7,7,7,6,6,7,5,5,5,5,5,5,4,4,5,4,1,2,5,5,3,2
R_d0G3ZcrUZM9Ubxr,GSAS,Doctor of Philosophy,Biological and Biomedical Sci.,2,5,5,5,5,3,1,1,6,6,6,6,6,4,7,6,5,5,7,6,4,4,2,5,6,2,3,1,3,3,3,3,4,4,1,1,2,6,6,,2
R_ewybycoeFjU5unj,GAH,Physician Assistant,Physician Assistant,2,5,3,6,5,5,2,1,7,7,5,7,7,7,7,7,7,6,7,7,7,7,7,6,6,2,4,2,5,3,3,3,3,3,3,3,2,4,6,4,2
R_6oogza1F0lyc7aJ,GSAS,Doctor of Philosophy,Anthropology,2,7,2,2,2,5,1,1,4,4,4,2,5,2,7,5,2,4,2,6,4,4,5,2,1,5,5,2,2,2,2,1,3,5,1,1,2,1,1,4,2
R_1N9mhPeVqbdkktL,PUBH,Master of Public Health,Prevention Science,2,6,5,2,1,6,1,2,6,7,7,7,7,6,7,6,7,6,7,6,3,6,5,5,5,,,,,,,,,,,,,,,,
R_9QY7mfQV1pciMnP,PUBH,Master of Public Health,Health Policy and Management,2,7,5,7,6,6,1,1,5,5,5,4,5,5,6,6,5,7,6,7,7,6,7,7,7,5,4,5,4,5,5,4,4,4,4,4,2,5,6,4,2
R_6RthaJ8Z8reL17n,GSAS,Doctor of Philosophy,Political Science,2,6,6,6,2,6,1,1,6,6,6,4,7,5,5,6,4,5,5,5,7,7,2,4,4,3,3,3,3,2,3,3,5,5,5,5,2,5,5,4,2
R_cURjHn4xAfCybWJ,GBUS,Evening MBA,Business Administration,2,5,5,2,5,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6r3UXop1sC58PMp,LAW,Juris Master,Juris Master,2,7,7,7,7,6,1,1,5,6,4,6,7,3,4,1,1,4,6,3,5,4,4,3,3,1,1,5,3,,3,3,3,3,3,3,2,1,4,3,2
R_ehg1VbRokC9OjnT,GSAS,Doctor of Philosophy,Biological and Biomedical Sci.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1n6mlGkgWVr0KaU,GSAS,Doctor of Philosophy,Psychology,2,6,4,5,2,5,2,1,6,6,6,7,6,6,7,6,5,7,6,5,5,5,6,5,5,4,3,2,2,5,4,2,4,5,2,1,2,3,4,4,2
R_dauVapFSqiJmnHL,PUBH,Non-Degree Public Health,Special Standing Student,2,6,4,6,6,6,1,1,7,7,7,6,7,5,7,7,5,5,5,2,4,4,5,,,2,2,1,3,1,3,1,4,4,3,3,2,7,4,4,2
R_cwMeQi5YmIiI5mJ,PUBH,Master of Public Health,Global Health,2,7,6,7,7,5,1,1,6,4,4,7,5,2,7,5,5,7,7,2,2,2,4,7,2,1,1,2,1,1,1,1,5,5,5,2,2,5,7,1,2
R_3EECgbssqYVfa8B,GSAS,Doctor of Philosophy,Biological and Biomedical Sci.,2,6,6,4,7,7,1,1,7,7,7,6,7,7,7,7,5,4,2,3,1,3,5,4,6,3,3,4,1,1,1,1,3,4,2,5,2,2,7,4,1
R_8CkHVmKV23LIbsN,GSAS,Doctor of Philosophy,Psychology,2,5,5,5,2,3,1,1,5,4,2,4,5,3,6,5,5,6,5,5,5,2,1,4,5,2,3,1,1,2,1,3,3,3,1,1,2,4,4,4,2
R_22Yvr3iA7kFmJoH,GNUR,Master of Science in Nursing,Pediatric - Primary Care,2,4,3,4,5,3,1,1,5,2,2,6,5,4,6,5,5,7,6,6,3,2,4,7,7,3,3,4,4,3,3,3,1,1,3,1,2,4,2,3,2
R_3pFNvSu6EnrQprT,GSAS,Doctor of Philosophy,Biological and Biomedical Sci.,2,5,5,2,6,6,1,1,5,7,4,7,5,6,5,4,4,4,4,3,4,3,2,2,5,2,2,2,2,2,3,4,5,5,2,1,2,4,4,4,1
R_cUAScO23J0Cy4Sx,PUBH,Master of Public Health,Prevention Science,2,4,4,4,3,5,2,1,5,6,6,4,5,3,5,6,5,6,6,,6,,6,5,6,3,4,2,1,2,2,5,3,2,4,2,2,1,5,3,2
R_80ohbyGJiuIppvT,GSAS,Doctor of Philosophy,Biological and Biomedical Sci.,2,6,7,7,6,7,3,1,7,7,7,4,7,4,7,7,6,7,4,4,5,4,4,4,5,4,4,4,5,4,5,3,5,5,3,2,2,5,6,4,1
R_6FLZ3kcbtV430vb,GSAS,Doctor of Philosophy,Chemistry,2,3,3,4,3,1,1,1,4,2,2,5,7,4,7,2,4,6,5,6,4,5,6,6,5,,,,,,,,,,,,,,,,
R_4OsGwGR0NKvTYrz,UNUR,Bachelor of Science in Nursing,Nursing,2,7,2,6,2,7,1,1,6,7,7,,6,5,7,7,1,5,7,6,1,6,7,7,7,3,3,1,4,1,2,1,5,5,1,5,2,5,4,4,2
R_6zdTjaltZBbIV01,GSAS,Doctor of Philosophy,Biological and Biomedical Sci.,2,5,5,5,2,6,1,1,6,6,5,2,6,7,5,5,2,7,4,3,5,3,4,5,4,2,2,4,3,1,1,1,5,5,3,3,2,3,3,4,2
R_1PZ9OHetXOiO5kW,GSAS,Doctor of Philosophy,Biological and Biomedical Sci.,2,6,6,5,2,4,1,1,5,6,5,6,5,4,7,4,3,6,6,4,6,4,5,5,6,2,2,2,4,3,3,4,5,5,1,3,2,1,1,2,1
R_bCWBsq8hPJfx5bf,PUBH,Master of Public Health,Health Policy and Management,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
R_9tcAlr6UL8LbzPn,PUBH,Master of Public Health,Prevention Science,2,7,7,7,3,6,1,2,7,7,7,7,7,7,7,5,7,6,6,4,4,4,4,5,5,2,3,4,2,3,3,3,5,5,4,2,2,5,4,4,1
R_elYoHjpRcviJEyx,GSAS,Doctor of Philosophy,Anthropology,2,6,7,5,6,4,1,1,6,6,6,6,7,7,7,6,3,6,5,7,7,5,5,5,5,5,5,2,3,3,2,3,5,5,5,5,2,4,5,4,1
R_eRtohVjHtFrY8UR,LAW,Juris Master,Juris Master,2,7,5,6,7,5,3,4,7,7,7,7,7,7,7,7,7,7,5,3,4,5,6,4,4,5,5,5,5,5,5,5,5,5,5,5,2,4,4,4,1
R_1HbNglt6Xs1Z0s2,UCOL,Liberal Arts & Sciences,Psychology,1,4,5,1,7,1,1,1,4,5,3,3,3,3,5,2,2,6,6,7,4,4,6,6,7,3,4,1,3,2,2,3,3,3,1,1,2,3,1,3,2
R_9HUqFhLY7Nl1F7n,GBUS,Evening MBA,Business Administration,2,6,5,6,6,5,1,1,5,4,4,2,4,2,6,4,4,6,5,5,4,4,4,3,3,2,2,1,2,3,3,2,2,2,3,1,2,5,2,4,1
R_e2sZGKVFZrb66dT,GSAS,Non-Degree Graduate School,Special Standing Student,2,7,6,6,7,3,2,6,5,5,5,5,5,6,6,6,3,5,4,4,4,5,4,5,5,3,4,4,5,4,3,3,4,3,4,4,1,4,1,1,1
R_1giiZlsu29aK1Um,LAW,Juris Master,Juris Master,2,7,4,1,2,2,1,1,2,1,2,3,2,2,3,2,2,5,7,7,6,6,6,4,6,4,2,2,4,3,3,4,1,1,1,1,2,1,1,3,2
R_3oZWEwHbAOAtYTT,PUBH,Master of Public Health,Applied Pub Health Informatics,2,5,4,3,2,4,1,1,4,5,5,4,5,4,6,4,4,4,5,4,5,4,2,3,4,2,2,2,4,2,3,3,3,3,2,2,2,3,1,4,2
R_aVSo8lInvBM7qPH,GBUS,Evening MBA,Business Administration,2,7,7,7,1,5,1,7,6,7,7,6,6,6,7,4,5,4,7,7,6,4,4,5,7,3,3,1,3,3,5,5,3,3,1,1,2,3,1,4,2
R_3qfgYS2oaL6HOK9,GSAS,Doctor of Philosophy,Chemistry,2,7,5,4,2,1,3,1,5,6,6,1,7,4,7,7,1,2,7,7,5,3,1,6,1,1,5,1,1,3,1,1,5,5,5,5,2,5,6,4,1
R_3W3bgRHBXWMJrdH,MED,Doctor of Medicine,Doctor of Medicine,2,5,3,4,2,2,2,3,3,4,4,6,5,4,7,5,3,4,5,7,7,6,5,5,6,3,4,3,4,4,3,2,5,4,2,2,2,6,5,4,1
R_86BhxlUGcpEUUV7,UOXF,Associate of Arts,Arts & Sciences,1,7,5,5,6,5,2,3,6,7,7,1,4,4,7,6,5,4,4,5,4,4,4,4,4,2,2,4,3,2,2,2,5,5,4,3,2,4,4,4,1
R_3h12oIx6hvsaMjH,GBUS,Evening MBA,Business Administration,2,5,3,2,1,3,1,1,4,5,3,5,4,2,6,4,2,6,7,7,6,4,5,2,5,4,4,2,5,3,3,2,3,4,5,2,2,1,1,3,2
R_0kR9FCMe5FSn2Dj,GBUS,Evening MBA,Business Administration,2,6,5,5,6,1,1,1,5,2,1,2,3,2,6,4,2,7,5,6,6,5,5,5,5,5,5,4,2,3,3,3,4,4,4,2,2,4,4,4,1
R_bqi4vd9GTlWYtBb,GSAS,Non-Degree Graduate School,Special Standing Student,2,6,5,5,7,2,1,1,3,7,7,6,6,7,7,5,5,7,7,7,4,4,7,7,6,1,1,1,1,3,4,3,1,3,2,1,2,5,4,4,2
R_26gQokO2A4DLfWM,LAW,Juris Master,Juris Master,2,5,5,5,3,3,1,3,7,6,5,3,5,3,5,7,6,3,2,1,1,1,1,3,3,3,3,2,2,2,1,3,5,5,3,3,1,4,5,6,2
R_0HTI3jqa1aQMt4F,GSAS,Non-Degree Graduate School,Special Standing Student,2,7,5,6,6,3,1,1,6,7,4,3,7,2,6,6,5,6,7,7,6,6,5,5,6,3,5,2,3,3,5,4,3,4,2,1,2,3,2,4,1
R_3kk3A3pZnYZ1E95,GAH,Non-Degree Grad Allied Health,Special Standing Student,2,5,7,3,4,3,2,2,7,7,7,6,6,4,7,6,5,5,7,5,5,5,7,6,6,3,3,2,2,3,3,4,2,5,4,2,1,3,4,1,2
R_0ky5mZOV4Xal0y1,GSAS,Non-Degree Graduate School,Special Standing Student,2,5,2,3,1,3,1,1,3,4,3,1,7,1,5,6,6,5,7,7,5,5,4,6,6,4,4,5,3,3,3,2,4,3,2,1,2,5,7,1,2
R_9mfQ2fPeJQhstRr,GAH,Non-Degree Grad Allied Health,Special Standing Student,2,5,5,6,6,6,1,1,7,4,4,6,6,4,6,6,6,4,6,6,4,4,4,4,4,3,3,4,3,1,1,2,5,5,4,1,2,,,,
R_4Sgx0RM78ZhVtE9,GAH,Non-Degree Grad Allied Health,Special Standing Student,2,5,5,5,5,3,1,1,6,6,6,6,6,4,6,6,6,6,7,7,5,6,6,6,6,1,1,1,2,2,3,3,4,3,2,1,2,7,3,3,2
R_1LhQiCemrCFMrP1,GAH,Non-Degree Grad Allied Health,Special Standing Student,2,5,6,3,6,2,2,2,5,4,3,2,5,5,4,4,3,5,5,5,5,5,5,5,5,3,3,2,4,3,3,3,3,3,3,1,1,2,2,4,2
R_0fg7G9CfzXTQJkp,GSAS,Doctor of Philosophy,Hlth Srvs Rsrch & Hlth Policy,2,3,3,5,2,5,1,1,7,7,7,7,7,6,7,7,7,6,4,4,4,4,4,4,4,2,2,4,3,2,2,1,3,4,2,1,2,5,7,4,2
R_dnwgjJhdoNIlMl7,GSAS,Doctor of Philosophy,Institute of Liberal Arts,2,6,7,3,3,4,1,1,5,5,5,6,6,4,5,7,6,6,4,4,5,5,6,3,4,4,4,1,3,4,3,3,4,4,2,2,2,5,7,4,2
R_1RqVfihjql20o1T,THEO,Master of Divinity,Divinity,2,6,6,6,4,5,3,1,6,7,7,7,7,7,7,6,4,7,6,7,6,5,4,4,6,4,4,3,4,3,3,4,4,4,4,4,2,,,,2
R_72LLwpex4FJY4Jf,GSAS,Doctor of Philosophy,Anthropology,2,6,4,6,6,6,2,1,7,3,2,6,6,7,7,7,5,6,2,2,2,2,6,1,2,5,5,1,4,5,3,3,4,5,3,4,2,5,5,1,1
R_79w5vmJqylnxtvn,THEO,Doctor of Ministry,Chrch Leadrship & Comm Witness,2,7,3,3,2,2,1,3,5,4,4,6,4,3,6,3,4,7,5,5,5,5,1,6,7,3,3,3,3,3,3,4,3,2,3,1,2,5,8,4,1
R_2ysBpxVdP2OGGno,THEO,Master of Theology,Theology,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,1
R_bfnEt4Z42057J09,PUBH,Master of Public Health,Behavioral Sciences/Health Ed.,2,5,5,4,1,3,1,1,6,5,5,3,7,3,7,6,5,7,5,6,6,4,4,5,4,4,4,4,3,4,4,4,5,3,1,4,2,1,1,1,2
R_9FcbzIndxZlr5zr,GSAS,Doctor of Philosophy,Behavioral Sciences & Hlth Edu,2,4,5,4,3,2,1,1,4,3,3,4,3,3,3,2,3,5,3,4,3,4,4,4,5,4,4,4,3,3,3,3,3,3,3,3,2,4,5,1,2
R_9BO2aJxyz3UYBjD,GSAS,Master of Development Practice,Master of Development Practice,2,3,4,6,6,6,2,2,6,5,4,4,6,4,6,6,6,6,4,7,4,6,6,3,3,4,4,3,2,3,3,3,3,4,2,4,2,3,4,4,2
R_5bgq4cjBpN8Cskt,MED,Doctor of Medicine,Doctor of Medicine,2,5,1,5,4,1,1,1,5,6,5,2,5,4,6,5,4,6,6,7,6,5,6,5,6,3,3,1,2,5,4,4,3,2,1,1,2,4,4,1,2
R_bJwODMsepb7co8l,GSAS,Doctor of Philosophy,Religion,2,7,7,4,5,5,1,3,5,6,5,7,5,4,6,5,4,7,7,7,6,7,7,2,2,5,5,5,4,4,5,3,3,4,3,3,1,4,5,3,2
R_aaDALhUyEehVkz3,GSAS,Doctor of Philosophy,Environmental Health Sciences,2,6,4,5,3,1,1,1,4,4,3,2,6,2,7,7,5,7,3,7,4,4,3,4,6,4,5,5,3,3,3,1,5,3,3,5,2,5,7,4,2
R_01wmk5iGRnU6p9j,GSAS,Doctor of Philosophy,Biological and Biomedical Sci.,2,3,3,5,1,1,1,1,3,4,3,1,4,1,7,4,1,7,3,7,7,7,7,7,7,5,5,2,2,3,3,2,5,4,5,1,2,1,3,2,2
R_aeIhLwFwwCULdVb,GSAS,Doctor of Philosophy,Biological and Biomedical Sci.,2,7,6,6,7,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_aY90wiT53V8qxNz,PUBH,Non-Degree Public Health,Special Standing Student,2,7,7,7,7,3,7,3,7,7,7,4,7,4,7,7,4,7,7,7,4,7,2,4,7,5,5,5,3,5,5,5,5,5,3,5,1,7,4,1,2
R_2ruW1mtWX9BB1v7,GAH,Physician Assistant,Physician Assistant,2,5,5,2,1,1,6,2,4,4,4,4,4,3,5,4,4,6,7,7,7,6,7,6,6,4,4,2,3,3,4,3,4,4,3,3,2,5,3,3,2
R_dchbzmvVX9YFmi9,PUBH,Master of Public Health,Prevention Science,2,6,1,2,6,1,1,1,4,3,4,5,6,4,7,4,4,6,6,6,6,6,6,6,6,2,2,3,3,3,3,3,3,3,3,2,2,5,4,4,2
R_6JOoz5c2nxa9Xil,GSAS,Doctor of Philosophy,Art History,2,5,5,5,2,5,2,2,7,7,6,6,7,5,7,6,2,7,5,7,4,4,6,4,6,4,4,1,4,3,3,4,5,5,4,3,2,4,4,4,2
R_2y9m38FMkqEtU5n,THEO,Master of Divinity,Divinity,2,7,3,6,7,5,1,1,5,4,4,4,5,3,5,4,4,5,5,6,6,6,4,2,2,3,4,3,4,3,3,3,5,5,4,3,2,6,4,3,2
R_T8flLPubWGzXgRj,GSAS,Doctor of Philosophy,Behavioral Sciences & Hlth Edu,2,5,5,6,3,6,1,1,6,5,5,5,6,5,7,6,6,6,4,6,6,4,6,3,4,3,4,2,4,3,,3,5,4,3,1,2,4,4,4,2
R_03fhlmRA9Rkggjr,GBUS,Evening MBA,Business Administration,2,7,4,5,3,4,1,3,6,6,6,7,6,3,7,6,6,7,6,5,6,6,7,6,5,5,5,4,3,5,4,5,5,4,4,2,2,6,4,4,2
R_1T9FN1xCcSU2bTD,MED,Doctor of Medicine,Doctor of Medicine,2,5,5,5,1,5,1,1,7,4,4,2,7,5,5,7,7,4,3,7,6,4,2,3,6,4,4,1,4,3,4,4,3,4,1,1,2,1,1,1,2
R_6QewS9cG7Toiaup,PUBH,Master of Public Health,Global Epidemiology,2,5,5,5,3,5,4,1,5,7,6,4,5,4,6,6,4,4,5,6,4,4,4,2,2,3,4,4,4,3,3,4,3,3,4,2,2,1,2,3,2
R_RPTkd469yigT0WJ,GSAS,Doctor of Philosophy,Biological and Biomedical Sci.,2,4,3,5,5,3,1,1,7,7,3,7,7,2,7,4,3,4,5,6,5,4,2,4,5,4,4,1,2,3,2,3,4,4,1,2,2,7,7,4,2
R_5vGSrld8rZH5Rk1,MED,Doctor of Medicine,Doctor of Medicine,2,3,3,3,3,3,3,3,5,6,6,5,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,6,6,1,1
R_9KVSJKV2Dg10lSt,PUBH,Master of Public Health,Global Health,2,6,6,6,7,6,2,1,5,6,5,6,6,6,6,6,6,4,3,4,4,4,4,4,4,4,4,1,4,2,2,2,5,5,5,5,2,1,1,1,1
R_8upapOxtHF6DnUx,GSAS,Doctor of Philosophy,Epidemiology,2,5,5,5,3,7,1,1,6,7,7,5,7,5,7,7,7,7,7,7,6,6,6,2,4,4,4,4,3,1,1,3,4,4,4,4,2,2,7,4,2
R_9od37G6SZuiC2EJ,GSAS,Doctor of Philosophy,Nursing,2,6,6,2,1,1,1,1,3,6,2,6,4,6,6,3,5,5,5,3,4,3,4,5,5,3,3,4,2,2,2,2,4,4,4,4,2,1,4,4,2
R_5iJnsfE96pO4NzT,GNUR,Master of Science in Nursing,Adult/Gerontology Acute Car NP,2,6,6,6,3,3,2,2,7,5,5,4,6,4,6,5,5,6,6,6,6,6,6,5,6,4,4,4,4,4,4,4,5,4,3,3,2,5,5,4,2
R_bmfzbgHxm2bqvlz,GSAS,Doctor of Philosophy,Biological and Biomedical Sci.,2,7,6,6,6,6,1,1,6,6,6,5,6,6,6,6,6,4,6,4,6,5,4,3,3,3,4,3,1,3,3,1,5,5,3,4,2,8,1,2,2
R_2bfYTVe0kuj3kzP,MED,Doctor of Medicine,Doctor of Medicine,2,5,4,2,2,2,2,2,5,6,5,3,5,5,6,7,6,7,6,7,6,5,6,4,4,3,4,3,3,4,4,5,3,3,2,2,2,3,4,4,1
R_5anqNPUGUSS0aTX,GNUR,Master of Science in Nursing,Family Nurse Practitioner,2,6,6,4,3,5,1,1,6,6,5,3,6,6,6,6,6,4,5,5,5,4,4,4,5,2,3,1,3,2,2,2,5,5,5,2,2,3,5,6,2
R_6mRo5bmluUjKcux,LAW,Juris Master,Juris Master,2,5,4,6,2,4,2,1,6,6,5,4,5,5,5,5,5,5,4,6,5,4,4,4,4,2,2,3,3,3,3,4,5,1,1,1,2,5,5,4,2
R_9YQHW4k10W28EHH,GSAS,Doctor of Philosophy,Mathematics,2,6,5,6,3,3,1,1,4,7,7,7,7,4,7,3,2,4,4,3,3,4,5,6,7,3,4,5,2,1,2,2,4,5,3,2,2,6,5,4,1
R_81HmX9Gtqv5VHRH,GSAS,Doctor of Philosophy,Religion,2,6,7,7,7,7,3,,7,7,7,7,7,4,7,7,7,7,5,7,7,7,7,2,7,5,5,5,4,5,5,3,4,4,2,2,2,4,7,4,2
R_ezy8ds9eUI41fTf,GSAS,Doctor of Philosophy,Biological and Biomedical Sci.,2,4,5,6,2,3,1,1,5,7,6,7,6,5,7,5,3,7,5,7,5,5,7,6,4,2,2,2,4,3,5,2,3,3,1,1,2,5,5,4,2
R_7NCpGqJFDNapBnT,GSAS,Doctor of Philosophy,Behavioral Sciences & Hlth Edu,2,6,4,6,2,4,1,1,6,4,3,5,6,3,6,5,5,6,6,7,5,5,6,4,5,4,4,3,2,3,3,3,5,4,3,3,2,1,1,3,2
R_54OZIbyOziCsNDv,MED,Doctor of Medicine,Doctor of Medicine,2,7,6,6,7,6,1,4,7,6,6,6,7,6,7,7,5,4,5,6,5,4,3,4,5,3,3,2,3,1,1,2,5,5,3,3,2,6,6,4,2
R_ddm5jFF29h5xFyd,GSAS,Doctor of Philosophy,Religion,2,3,3,2,7,4,2,6,4,4,5,5,4,4,7,4,1,7,7,7,7,7,4,5,5,5,5,5,3,4,3,5,3,3,4,1,2,4,3,3,2
R_emNgMqG5UxlCk29,GBUS,Weekend Executive MBA,Business Administration,2,5,2,2,2,5,1,1,1,3,6,6,6,3,6,6,5,6,6,6,5,5,6,5,6,3,4,5,3,3,3,3,4,4,4,2,2,1,1,1,2
R_a4wigaoCisk79xH,PUBH,Master of Public Health,Behavioral Sciences/Health Ed.,2,5,5,5,4,3,1,1,6,7,3,2,4,5,7,5,1,7,3,4,3,3,4,2,4,4,4,4,2,4,3,5,3,5,1,2,2,7,4,4,1
R_8puqy4yT8qqrzMx,PUBH,Master of Public Health,Prevention Science,2,5,3,3,1,1,1,1,1,1,1,1,2,2,1,1,2,6,7,7,7,6,5,3,6,4,4,1,4,5,4,2,1,1,1,1,2,5,1,6,2
R_5AWUduVk6vvWSnH,GSAS,Doctor of Philosophy,Biological and Biomedical Sci.,2,4,3,1,6,1,1,1,1,2,1,2,1,1,3,1,1,7,5,5,5,5,7,2,5,3,3,2,3,3,2,2,4,4,2,2,2,4,4,4,2
R_6ESdnKh0KGlIwjb,GSAS,Doctor of Philosophy,Anthropology,2,6,6,5,5,4,5,1,6,6,6,3,6,7,7,6,3,6,5,6,6,5,6,4,4,4,4,4,3,3,3,3,4,4,4,3,2,7,7,4,2
R_cBd1R6TuOmlfHcF,GSAS,Doctor of Philosophy,Biological and Biomedical Sci.,2,6,6,3,6,2,1,1,6,4,5,2,6,3,5,6,3,7,6,7,4,4,5,3,4,3,3,4,1,2,4,3,5,5,3,3,2,5,4,4,1
R_6EYl4lhzshHwMv3,GSAS,Doctor of Philosophy,Behavioral Sciences & Hlth Edu,2,6,3,6,6,4,3,2,6,7,6,6,6,7,7,5,5,6,6,7,7,6,5,6,5,4,4,1,3,5,4,4,4,4,1,1,2,1,3,2,2
R_6SfyzWRwfELwWMt,PUBH,Master of Public Health,Behavioral Sciences/Health Ed.,2,3,3,3,2,2,1,1,4,2,3,2,3,1,3,2,2,5,3,5,6,4,3,5,5,4,4,2,3,4,3,5,2,3,1,1,2,4,8,3,2
R_7OsnijxBlfVVIsR,MED,Doctor of Medicine,Doctor of Medicine,2,4,2,6,2,1,1,1,4,3,3,2,4,3,5,3,2,5,4,6,5,3,3,4,4,3,2,1,3,1,3,2,3,3,1,1,2,4,6,4,2
R_79xszNLhv3jGrBP,THEO,Master of Divinity,Divinity,2,5,4,7,7,5,1,1,5,3,1,7,7,5,7,2,1,6,7,7,5,4,5,1,3,4,4,2,2,4,3,3,4,4,3,1,2,3,4,2,1
