ResponseID,Finished,Career,Q3a,Q3b,Q3c,Q3d,Q3e,Q3g,Q3f,Q5Club,Q5Vol,Q5Garden,Q5Hub,Q5Farm,Q5Web,Q5Movie,Q7Grown,Q7behavior,Q7aware,Q9a,Q9b,Q9c,Q9d,Q9e,Q9f,Q9g,Q9h,Q9i,Q9j,Q9k,Q9l,Q9m,Q9n,Q11foot,Q11Bio,Q11Equity,Q11PP,Q11Goals,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Status,Level,Time,Do you consider yourself:,Highest1,Highest2,Background,Woman,Man,TransW,NonBinary,PreferNotToAnswer,TransM,Residence
R_23ZxOBkt1bMgus2,Survey Finished,THEO,4,4,4,3,4,1,3,,1,,,,1,,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,4,4,4,4,3,3,4,2,0,2,1,3,1,4,1,,,,,,Off Campus
R_a3GYO2GVEm8WZcl,Survey Finished,PUBH,5,4,4,2,3,1,3,,,,,1,1,,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,3,4,5,5,5,4,5,5,2,0,1,1,1,2,4,1,,,,,,Off Campus
R_23TuV03fUeGpSuQ,Survey Finished,PUBH,4,2,3,2,4,2,4,,,,,1,,,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,3,4,3,3,1,3,4,4,4,4,4,4,2,0,1,1,5,4,4,1,,,,,,Off Campus
R_2OJyJQt66lz8aHa,Survey Finished,LAW,5,4,4,2,4,5,1,,,,,1,1,,4,4,4,1,1,1,2,2,3,1,3,1,3,2,1,1,1,1,1,1,1,1,5,4,5,5,5,4,2,0,1,1,5,4,3,1,,,,,,Off Campus
R_24BISKO1AeQU8gA,Survey Finished,GAH,4,4,4,3,5,1,3,,,,,1,,,1,2,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,5,5,5,1,5,4,5,5,2,4,5,2,0,1,1,2,3,4,1,,,,,,Off Campus
R_2PoqaLxws9sbCYK,Survey Not Finished,LAW,5,5,4,3,5,1,1,,,,,,,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,Off Campus
R_vMEM2PS0HUcSem5,Survey Finished,GSAS,4,4,4,4,3,1,3,,,,,,,,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,5,5,5,5,5,5,2,0,4,1,5,5,4,,1,,,,,Off Campus
R_25sFPjqrFKFruN4,Survey Finished,GSAS,3,3,4,3,3,1,2,,,,,,,,2,2,2,1,3,3,3,3,1,1,1,3,3,3,3,1,3,3,3,3,2,2,2,4,3,1,2,2,2,0,2,1,5,3,4,,1,,,,,Off Campus
R_1P6PTGHIG4IRkcR,Survey Finished,GSAS,5,4,3,2,3,1,1,,,,,,,,1,3,1,1,1,1,2,3,3,1,2,3,3,3,3,1,1,5,5,1,5,3,5,5,5,3,3,2,2,0,5,2,5,5,4,,1,,,,,Off Campus
R_2txmLmGeWyihQs5,Survey Finished,GSAS,3,3,4,2,1,1,2,,,,,,,,3,3,3,1,1,1,1,3,1,1,1,3,3,1,1,3,1,5,5,3,3,2,3,3,3,1,2,1,2,0,5,1,1,1,4,,1,,,,,Off Campus
R_2U3gwzUzq6GFwHZ,Survey Finished,GBUS,4,2,4,2,4,1,1,,,,1,1,1,,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,4,4,4,4,3,4,4,2,0,1,1,6,6,4,1,,,,,,Off Campus
R_1gkm8hzwglLQH4g,Survey Finished,LAW,4,5,4,2,4,1,1,,,,,1,1,,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,3,3,3,3,3,3,2,0,1,1,1,8,3,1,,,,,,Off Campus
R_1M6rwq2LptcRzLd,Survey Finished,PUBH,4,3,3,1,4,1,1,,,,,,,,1,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,,,,,,,,,,,Off Campus
R_2cjtDHkjXODkZW8,Survey Finished,GNUR,4,4,4,2,2,2,2,,,,,,,,3,3,4,1,1,1,2,1,1,1,1,1,3,1,1,1,3,5,5,5,3,5,4,4,4,4,4,4,2,0,1,1,6,5,3,1,,,,,,Off Campus
R_3lKdhG1ZzRGEh0o,Survey Finished,PUBH,3,3,3,3,3,3,3,,1,,,,,1,3,3,3,3,2,3,3,2,2,3,2,3,2,2,3,2,3,2,3,3,3,2,3,3,2,3,3,2,2,0,3,1,2,2,4,1,,,,,,Off Campus
R_1jpsVtd2kUx5hv0,Survey Not Finished,LAW,4,3,4,5,2,1,2,,,,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,Off Campus
R_3j0NYpz8nwzq0mW,Survey Not Finished,LAW,5,4,3,2,3,1,1,,,,,1,,,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,Off Campus
R_1r3wzN4Y7WPWtyL,Survey Finished,MED,3,4,4,5,2,1,5,,,,,1,,,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,1,1,3,5,5,5,5,5,5,2,0,1,1,6,2,4,1,,,,,,Off Campus
R_1F2ijmx9plI9dT4,Survey Finished,PUBH,5,4,4,3,4,1,2,,,,,,1,,3,4,4,1,3,3,3,1,1,1,3,1,3,1,1,1,2,4,4,3,1,1,5,4,4,3,4,4,2,0,1,1,3,1,4,1,,,,,,Off Campus
R_31Gj74PuxUsbKiI,Survey Finished,PUBH,5,5,5,4,3,1,1,,,,,,,,3,3,3,3,1,1,1,1,3,1,1,1,1,1,3,1,1,5,4,4,4,3,5,5,5,5,5,5,2,0,1,2,1,1,4,1,,,,,,Off Campus
R_2wKVC3E1UM0bnNH,Survey Finished,UBUS,5,5,4,3,4,2,3,,,,,1,1,,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,3,5,5,5,5,5,5,3,0,0,1,4,4,1,,1,,,,,Off Campus
R_3kicuafsPlzGcSE,Survey Finished,UNUR,4,4,4,2,2,1,1,,,,,,,,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,0,1,5,5,4,1,,,,,,Off Campus
R_2PhYF9Cb5JdY4YE,Survey Finished,PUBH,4,4,4,3,3,3,3,,,,,,,,3,3,4,1,3,1,2,1,1,1,1,1,1,1,1,1,1,5,4,1,1,2,4,5,5,3,5,4,2,0,1,1,5,4,4,,1,,,,,Off Campus
R_1ltr2G83YZZCHp9,Survey Finished,GAH,4,4,4,4,3,1,1,,,,,1,,,3,3,4,1,1,1,1,1,1,1,1,1,1,3,3,1,3,3,3,3,1,3,4,3,2,3,2,3,2,0,2,1,1,1,1,1,,,,,,Off Campus
R_3khTChDsCFEdCdd,Survey Finished,GSAS,3,2,3,3,3,3,2,,,,,,,,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,2,3,4,4,4,4,4,4,2,0,4,1,6,5,4,1,,,,,,Off Campus
R_3Jl2pQoq7Uk2FCo,Survey Finished,PUBH,3,4,4,2,2,1,3,,,,,,,,2,2,1,1,1,3,1,3,3,1,3,3,1,1,1,1,3,5,5,3,2,5,3,4,3,1,2,3,3,0,0,1,5,7,4,1,,,,,,Off Campus
R_3j34Ew8yhVyNWKZ,Survey Finished,MED,4,3,3,2,1,1,1,,,,,,,,3,3,3,3,1,1,1,1,1,1,3,3,3,1,1,1,1,5,5,3,4,2,4,4,4,5,3,3,2,0,1,1,4,4,4,1,,,,,,Off Campus
R_3Ryg95nTQBCYr97,Survey Finished,PUBH,4,1,4,3,3,1,3,,,,,1,,,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,3,5,5,5,5,4,4,5,2,0,1,1,5,4,4,1,,,,,,Off Campus
R_2CH30VNoQGMhGD2,Survey Finished,GSAS,5,5,5,4,3,4,4,,1,,,,1,,4,4,4,1,1,1,3,2,1,1,1,1,1,1,1,1,1,3,5,5,5,5,4,4,4,4,4,4,3,0,0,2,6,1,1,,1,,,,,Off Campus
R_2OVhy7rFAvP9gnz,Survey Not Finished,LAW,4,4,4,2,3,1,1,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,Off Campus
R_28CEug1WQxwpzAg,Survey Finished,THEO,4,4,4,4,2,1,2,,,,,1,,,3,3,3,1,1,1,3,1,1,1,3,1,1,1,1,1,1,3,3,3,1,1,3,1,1,5,1,3,2,0,1,1,4,3,4,1,,,,,,Off Campus
R_3CKhz7ZPNzdtZRF,Survey Finished,GSAS,4,4,4,3,4,2,4,,,,,,,,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,,3,1,3,3,1,4,3,4,4,4,3,5,2,0,2,1,4,4,3,1,,,,,,Off Campus
R_8C95JPtecUjqjzX,Survey Finished,GSAS,4,4,4,3,3,1,1,,,,,,,,4,3,3,1,1,3,3,3,3,1,3,1,1,1,3,1,2,5,4,1,1,1,3,3,3,2,2,4,2,0,2,1,3,7,4,,1,,,,,Off Campus
R_3hzh0ygbvvTnpx3,Survey Finished,GSAS,3,4,3,2,2,1,2,,,,,,1,,3,3,3,1,1,1,1,1,1,1,3,3,1,1,1,1,1,4,4,1,2,4,3,4,2,3,2,4,2,0,2,1,6,4,4,,1,,,,,Off Campus
R_5BHMfpDI7D23KjD,Survey Not Finished,LAW,5,3,4,5,3,3,3,,,,,1,1,,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,Off Campus
R_5hZV1Wf8sv722o9,Survey Finished,MED,5,2,2,1,3,1,1,,,,,1,,,3,2,4,1,3,1,3,1,1,1,1,1,3,1,3,1,2,5,5,5,5,3,3,4,2,3,3,3,2,0,2,1,4,4,4,,1,,,,,Off Campus
R_2V8FAiTaFAV60LR,Survey Finished,LAW,4,4,5,3,3,1,1,,1,1,,,,,4,4,4,3,1,1,3,1,3,1,3,1,1,1,3,1,1,3,3,4,1,1,5,5,5,5,5,5,2,0,1,1,1,1,3,,1,,,,,Off Campus
R_3pndfGDC1wbu9z0,Survey Finished,UCOL,4,2,4,5,2,1,3,,,,,1,1,1,4,4,4,1,3,3,1,1,3,1,1,1,3,1,3,1,1,4,5,1,1,2,4,3,2,4,3,3,1,3,0,1,3,3,3,1,,,,,,On Campus
R_21EYaoOOn6U5PSQ,Survey Not Finished,GSAS,3,5,3,2,3,1,4,,,,,,1,,3,3,3,1,3,3,3,3,1,1,3,1,3,1,3,1,2,,,,,,,,,,,,,0,0,,,,,,,,,,,Off Campus
R_Oa7lBuMiNjyDaLf,Survey Finished,GBUS,4,4,4,2,3,1,5,,,1,,1,1,,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,2,4,4,5,4,4,3,4,2,0,1,1,5,5,4,1,,,,,,Off Campus
R_1JFvTLXY0AshWi5,Survey Finished,PUBH,4,3,4,5,2,2,3,1,,,1,1,1,,4,4,3,1,1,1,1,1,3,1,3,1,3,1,1,1,1,4,5,3,1,5,4,4,5,5,4,3,2,0,1,1,4,5,4,1,,,,,,Off Campus
R_2TEJrFiNeFvGxyR,Survey Not Finished,LAW,4,4,4,3,3,2,3,,,,,1,1,,4,4,4,1,1,1,3,3,2,1,3,1,1,3,1,1,1,3,3,2,2,2,4,2,4,3,3,4,,0,0,,,,,,,,,,,Off Campus
R_C7DoOzIoB4tZGgN,Survey Not Finished,GAH,5,5,5,3,3,1,1,,,,,,1,,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,Off Campus
R_O1j3iHxoinWnaE1,Survey Finished,GAH,5,5,5,2,3,3,2,,,,,1,,,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,5,5,5,3,5,5,2,0,2,1,4,4,4,,1,,,,,Off Campus
R_1eQ7j9bWApvbLrX,Survey Finished,UCOL,4,5,4,5,2,1,2,,,,,,1,,3,4,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,5,5,3,1,4,4,4,4,4,4,1,3,0,1,1,1,2,1,,,,,,On Campus
R_DAK5suBBS1kLp1n,Survey Finished,GSAS,4,3,4,3,2,1,2,,,,,,,,3,3,3,1,1,3,3,1,1,1,3,3,3,1,3,,3,3,3,2,5,3,4,3,3,4,3,3,2,0,5,1,1,1,2,,1,,,,,Off Campus
R_1mORxGBKZEVGvPL,Survey Finished,GNUR,3,4,3,4,5,1,1,,,,,,,,2,3,4,1,1,1,1,,1,1,1,1,1,1,1,1,3,4,3,3,1,1,4,5,5,4,4,5,2,0,2,1,6,5,4,1,,,,,,Off Campus
R_2ErRzRtqYHk6fuY,Survey Finished,THEO,4,5,4,4,4,2,3,,1,1,,,,,5,5,5,1,1,1,3,1,1,1,1,1,1,1,3,1,,5,5,5,3,3,4,5,5,5,5,5,2,0,2,1,6,3,4,1,,,,,,Off Campus
R_3RjRmY4j0ohAjMp,Survey Finished,GNUR,4,4,4,3,4,1,2,,,,,,,,4,4,4,1,1,1,2,1,1,1,1,2,1,1,2,1,1,4,2,1,1,2,5,5,3,3,1,3,2,0,3,1,6,4,4,1,,,,,,Off Campus
R_3j7EzH1iZryGkRH,Survey Finished,GSAS,5,3,5,2,2,1,2,,,,,,,,3,4,2,1,3,1,1,1,1,1,3,3,3,1,1,1,1,4,3,2,4,5,4,4,4,5,3,4,2,0,4,1,5,6,4,1,,,,,,Off Campus
R_5cGWzlS88BLJYDn,Survey Finished,GSAS,4,4,4,2,5,1,3,,,,,1,,,3,4,3,1,1,3,3,3,1,1,1,3,3,1,1,1,2,4,3,4,1,4,4,2,3,3,2,5,2,0,3,1,6,3,1,1,,,,,,Off Campus
R_3j9h4i14H9EFKTn,Survey Not Finished,THEO,5,3,4,2,2,2,1,,,,,,,,2,3,3,1,1,1,2,1,1,1,1,1,1,1,3,1,3,5,5,2,2,2,,,,,,,,0,0,,,,,,,,,,,Off Campus
R_2V45YVkKAQLkPx4,Survey Finished,PUBH,4,4,4,3,3,2,1,,,,,,,,3,3,3,1,1,1,3,1,1,1,3,1,1,1,1,1,3,3,3,3,3,3,4,4,4,4,3,4,2,0,2,1,6,6,2,1,,,,,,Off Campus
R_1pxRSPBfDgZmzR5,Survey Finished,GSAS,5,5,5,5,5,1,3,,,,,,,,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,2,0,3,1,6,5,4,1,,,,,,Off Campus
R_0859Z1g8xtVi9Ud,Survey Finished,GBUS,3,4,4,3,3,2,2,,,,,,,,2,2,3,1,1,1,3,3,3,1,1,1,1,1,1,1,3,4,3,3,2,2,3,3,4,2,3,4,2,0,1,1,3,3,2,1,,,,,,Off Campus
R_3fDlmwGhD6IvaNu,Survey Finished,GSAS,4,4,4,2,4,2,3,,,,,1,,,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3,5,2,2,4,4,4,4,4,4,2,0,4,1,4,4,4,1,,,,,,Off Campus
R_aYwy1bS51gryACZ,Survey Finished,GSAS,5,5,5,5,5,1,1,,,,,,,,3,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,2,0,1,1,6,6,4,1,,,,,,Off Campus
R_1py5IrjcJ7mAB9H,Survey Finished,GSAS,4,3,4,4,4,1,4,,,,,,,,2,3,3,1,3,3,3,2,3,1,3,1,3,1,1,1,3,3,2,3,1,1,4,3,3,2,2,4,2,0,5,1,4,7,4,,1,,,,,Off Campus
R_1pJUA7O0S8XQ6B0,Survey Not Finished,LAW,4,5,5,2,3,1,2,,,,,1,1,,3,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,4,5,4,5,3,4,,0,0,,,,,,,,,,,Off Campus
R_PBxqVmUuEI6R5p7,Survey Finished,GSAS,4,4,4,2,3,2,1,,,1,,1,,,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,1,5,4,5,4,5,5,4,2,0,3,1,6,4,4,1,,,,,,Off Campus
R_1i26yM7CwtOXyRs,Survey Finished,LAW,4,4,4,3,4,3,3,,,,,,1,,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,2,1,3,4,5,5,4,4,4,2,0,1,1,4,2,4,1,,,,,,Off Campus
R_25Qkzyq1f507ejX,Survey Finished,MED,4,3,4,2,3,1,3,,,,,,,,3,3,3,1,1,3,1,1,1,1,1,1,3,1,1,1,1,4,4,2,1,1,4,5,5,2,5,5,2,0,6,1,5,7,4,,1,,,,,Off Campus
R_1EgQh2zgC378eH7,Survey Finished,GSAS,4,3,4,3,2,1,3,,,,,,,,2,3,3,1,1,1,2,1,1,1,2,1,1,1,1,1,3,4,5,3,4,3,4,5,4,5,5,4,2,0,5,1,6,5,4,,1,,,,,Off Campus
R_1oiok12F3LaSPuS,Survey Finished,GSAS,4,3,5,3,5,1,2,,,,,1,,,4,3,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,5,5,5,5,5,5,3,0,0,1,4,3,4,1,,,,,,Off Campus
R_e5Jgl5dNWIWtmAp,Survey Finished,GNUR,4,4,4,2,3,2,3,,,,,1,,,3,3,4,1,2,3,3,1,1,1,1,1,1,1,1,1,3,3,3,2,1,2,4,4,3,4,4,4,2,0,1,1,4,3,4,1,,,,,,Off Campus
R_DdWzx7d5VNpbY2t,Survey Finished,PUBH,4,3,4,2,3,3,1,,,,1,,,,3,3,4,1,1,1,3,2,1,1,3,3,1,1,1,1,1,5,5,3,4,5,4,3,4,5,2,5,2,0,2,1,6,7,4,1,,,,,,Off Campus
R_2cbDR1s7qXOOw4v,Survey Finished,GSAS,4,4,4,4,4,1,4,,,,,,,,3,3,3,1,1,1,2,1,1,1,1,1,3,1,3,1,1,5,5,3,5,3,5,5,5,4,5,5,2,0,5,1,6,6,4,1,,,,,,Off Campus
R_1ifEr0ofEVtsM2i,Survey Finished,PUBH,3,2,2,3,3,2,3,,,,,,,,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,5,5,5,5,2,5,5,5,5,3,2,0,1,1,4,4,3,1,,,,,,Off Campus
R_C7I0etc9VeP6tEZ,Survey Finished,GBUS,4,4,4,4,4,4,4,,,,,,,,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,3,3,3,3,2,0,3,1,5,5,4,1,,,,,,Off Campus
R_5dN1DICyinUGBFf,Survey Finished,GBUS,5,3,4,3,3,1,1,,,,,1,,,2,2,2,1,3,1,3,1,1,1,1,1,1,1,3,1,2,4,5,3,3,2,3,4,3,2,2,3,2,0,1,1,6,5,4,1,,,,,,Off Campus
R_81CRkykRTl3vK3n,Survey Finished,GBUS,4,3,4,5,2,1,4,,,,,,,,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,3,2,2,4,3,4,3,4,4,2,0,1,1,5,4,3,,1,,,,,Off Campus
R_26fM60POCYKQ0DS,Survey Finished,GSAS,5,4,5,3,4,4,3,,,,,1,1,,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,5,5,5,5,5,5,2,0,2,1,2,1,4,1,,,,,,Off Campus
R_2EvspLDYATjp53v,Survey Finished,GSAS,4,2,4,4,3,1,1,,,,,,,,3,4,4,1,3,1,3,1,1,3,3,1,1,2,1,1,3,4,4,1,1,1,3,4,3,5,4,4,2,0,1,1,4,5,6,1,,,,,,Off Campus
R_3nSnwv7f7IOIh2I,Survey Not Finished,GBUS,3,3,4,4,3,1,1,,,,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,Off Campus
R_3JF4ug82zUhz1kH,Survey Finished,PUBH,5,4,4,2,3,2,2,,,,,,,,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3,1,3,5,4,4,4,2,4,3,2,0,1,1,4,3,4,1,,,,,,Off Campus
R_31RzhBEB6vO8ZPD,Survey Finished,GSAS,4,2,5,5,4,1,3,,1,,,,,,4,3,4,1,3,1,2,1,1,1,1,1,2,1,2,1,1,5,3,1,1,2,4,5,5,2,4,4,2,0,5,1,4,5,4,1,,,,,,Off Campus
R_3qBQppMthtzO9b8,Survey Finished,GSAS,5,5,5,2,1,1,1,,,,,1,,,2,3,3,1,1,3,1,1,3,1,1,3,3,1,3,1,1,5,3,3,3,2,3,4,4,1,1,3,2,0,6,1,4,4,1,1,,,,,,Off Campus
R_2VO9BJQwKyHN3io,Survey Finished,GSAS,4,4,4,3,3,1,4,1,1,,,,,,4,4,4,1,1,1,3,1,3,1,1,1,1,1,1,1,1,5,5,3,1,3,5,5,5,4,5,5,2,0,4,1,4,4,4,1,,,,,,Off Campus
R_1FCFpnOc0gEiUzi,Survey Finished,GBUS,4,4,3,2,2,1,1,,,,,,,,2,2,2,1,3,1,1,1,3,1,3,3,3,3,3,1,2,4,3,3,2,3,4,2,2,4,3,3,2,0,1,1,6,4,1,,1,,,,,Off Campus
R_3JwniC0SCtfqf0E,Survey Finished,GSAS,4,4,4,1,3,3,3,,1,,,,,,5,4,5,1,3,1,2,1,,1,1,1,1,1,3,1,1,5,5,2,1,5,4,5,4,5,5,4,2,0,5,1,5,1,4,,1,,,,,Off Campus
R_1rxqqlmqkHPbyVq,Survey Not Finished,UNUR,4,5,3,4,4,2,2,,,,,,1,,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,Off Campus
R_2U932O2vd5S7CfI,Survey Finished,GSAS,4,3,4,1,2,1,3,,,,,1,,,4,4,3,3,3,3,1,3,3,1,3,3,1,1,2,3,1,3,4,1,1,1,4,3,3,3,5,5,2,0,4,1,4,1,2,1,,,,,,Off Campus
R_7V5m5naIKxN8YtX,Survey Finished,MED,4,3,4,2,2,1,2,,,,,1,,,1,3,1,3,3,1,3,3,3,1,3,1,3,3,3,1,3,3,3,1,1,2,4,4,3,5,3,3,2,0,2,1,4,4,4,1,,,,,,Off Campus
R_C7z1IPivFfDqu5P,Survey Finished,GBUS,5,5,5,3,3,2,1,,,,,,,,2,2,3,1,1,3,2,3,3,1,1,1,1,1,3,1,3,5,3,3,1,2,5,5,5,1,5,5,2,0,1,1,1,1,4,,1,,,,,Off Campus
R_yX53gRqlfnvuSOd,Survey Finished,MED,4,4,4,4,4,3,3,,1,,,,,,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,4,3,3,2,3,4,4,3,3,3,4,2,0,3,1,4,3,4,,1,,,,,Off Campus
R_2X68kwCLQdQ5Omv,Survey Finished,LAW,3,2,4,2,1,1,1,,,,,,,,1,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,5,4,4,1,3,4,2,1,4,2,3,2,0,2,1,1,4,4,,1,,,,,Off Campus
R_1NfRzZKfTLjKBuy,Survey Finished,PUBH,5,4,4,4,2,1,5,,,1,,1,,,2,3,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,5,5,2,2,5,4,5,5,5,5,4,2,0,1,1,5,7,2,,1,,,,,Off Campus
R_RIIojIop6NJkaBP,Survey Finished,GSAS,4,5,3,4,4,2,1,,,,,,1,,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,5,2,4,3,3,4,4,5,2,0,4,1,4,2,4,1,,,,,,Off Campus
R_3siBMm4qaTffK7R,Survey Finished,GSAS,5,5,5,5,5,4,3,1,,,1,1,1,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,2,0,1,1,1,3,2,1,,,,,,Off Campus
R_2WG78ivpIU2KfSu,Survey Finished,UNUR,4,3,5,4,5,1,2,,,,,1,1,,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,3,3,5,5,5,5,5,5,1,1,0,1,1,5,4,1,,,,,,Off Campus
R_2U4TZWy0O2JKKcb,Survey Not Finished,GSAS,4,4,3,,2,1,3,,,,,,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,Off Campus
R_5j6IGLcXFZr9HK9,Survey Finished,MED,4,4,4,2,3,1,2,,,,,1,1,,3,3,3,1,1,1,3,1,1,1,3,1,1,1,1,1,1,4,4,3,2,3,5,4,3,4,4,5,2,0,1,1,6,6,4,1,,,,,,Off Campus
