ResponseID,Finished,Career,ProgramDescr,Level,AcadPlan1Name,AcadPlan1,AcadPlan1Type,DormBuilding,OrignAddrCntry,Q1.a,Q1.b,Q1.c,Q1.d,Q1.e,Q1.f,Q1.g,Q1.h,Q1.1,Q1.2,Q2.a,Q2.b,Q2.c,Q2.d,Q2.e,Q2.f,Q3.a,Q3.b,Q3.c,Q3.d,Q3.e,Q3.f,Q3.g,Q3.h,Q3.i,Q3.j,Q3.k,Q3.l,Q3.m,Q3.n,Q3.o,Q3.1.a,Q3.1.b,Q3.1.c,Q3.1.d,Q4.1,Q4.2,Q4.3,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5.a,Q5.5.b,Q5.5.c,Q5.5.d,Q5.5.e
R_1hS8mJEFKmd39T6,Survey Complete,LAW,Juris Master,Graduate,Juris Master,LAWJM,Major,No Dorm,USA,7,7,7,1,5,1,2,3,3,4,7,7,7,6,6,6,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,1,1,0,1,2,0,1,1,1,1,4,1,0,0,0,0
R_1Q9NmeJLRMsBRJs,Survey Complete,PUBH,Master of Public Health,Grad Yr 1,Global Epidemiology,GLEPIMPH,Major,No Dorm,USA,6,5,5,4,3,1,1,1,2,1,6,3,1,1,2,3,5,5,4,4,4,3,5,4,4,4,5,5,5,2,2,1,0,0,0,2,0,1,1,1,3,1,1,0,0,0,0
R_3mmM2sufeNFeN4w,Survey Complete,PUBH,Master of Public Health,Grad Yr 1,Global Epidemiology,GLEPIMPH,Major,No Dorm,USA,7,7,7,7,7,7,7,7,4,5,7,6,6,7,6,7,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,1,1,0,0,2,0,1,1,4,7,4,0,0,1,0,0
R_1LYDfS4oC8I1Sdr,Survey Complete,PUBH,Master of Public Health,Grad Yr 1,Global Health,IHMPH,Major,No Dorm,USA,5,5,2,2,2,1,1,3,1,1,3,3,2,5,3,3,3,2,4,2,2,2,4,2,4,4,3,3,4,2,2,1,1,0,0,2,0,1,1,5,5,4,1,0,0,0,0
R_3hb8ftL0jpKGxHk,Survey Complete,PUBH,Non-Degree Public Health,ND Grad,Special Standing Student,SPECSTSPH,Non-Degree,No Dorm,USA,3,2,3,3,6,1,1,2,3,3,5,7,6,6,5,7,5,4,5,5,4,5,5,4,5,5,5,5,5,5,4,1,1,1,1,2,0,1,1,4,5,4,1,0,0,0,0
R_C7z0IWuqDrVD5ap,Survey Complete,GAH,Non-Degree Grad Allied Health,ND Grad,Special Standing Student,SPECSTGAH,Non-Degree,No Dorm,USA,6,6,6,7,4,2,1,7,1,1,7,7,7,1,7,7,4,2,5,4,2,5,0,3,1,5,2,0,3,1,1,1,1,1,0,3,0,0,1,7,7,4,0,0,1,0,0
R_3kn6M4MfY1JI8K1,Survey Complete,GAH,Non-Degree Grad Allied Health,ND Grad,Special Standing Student,SPECSTGAH,Non-Degree,No Dorm,USA,3,5,6,3,6,1,1,2,1,1,6,7,6,6,7,7,5,4,5,5,5,5,5,5,5,4,4,4,5,1,2,1,1,1,0,2,0,1,1,3,4,0,1,0,0,0,0
R_3R9Aa2PGqnBBjlD,Survey Complete,GSAS,Non-Degree Graduate School,ND Grad,Special Standing Student,SPECSTGSAS,Non-Degree,No Dorm,USA,7,3,6,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,7,7,1,1,0,0,0,0
R_1jZATdOOaE0rboH,Survey Complete,GAH,Non-Degree Grad Allied Health,ND Grad,Special Standing Student,SPECSTGAH,Non-Degree,No Dorm,USA,4,3,3,7,3,3,3,3,2,2,3,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,0,2,0,1,0,5,1,4,0,0,1,0,0
R_3MArTx4WwD5wVjD,Survey Complete,GAH,Non-Degree Grad Allied Health,ND Grad,Special Standing Student,SPECSTGAH,Non-Degree,No Dorm,USA,3,3,2,4,2,2,1,1,3,2,5,1,2,1,2,5,5,3,4,4,5,5,5,3,1,1,3,3,2,2,1,1,1,0,0,2,0,1,1,5,4,4,0,0,1,0,0
R_2uP8cI2Aje2oPaL,Survey Complete,GAH,Non-Degree Grad Allied Health,ND Grad,Special Standing Student,SPECSTGAH,Non-Degree,No Dorm,USA,5,4,5,4,1,1,1,5,4,3,5,5,5,1,4,5,3,0,0,4,1,0,5,2,2,3,0,1,5,5,2,0,0,0,0,3,0,0,1,4,5,3,1,0,0,0,0
R_2zj1IhhFTi4bakt,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Anthropology,ANTHPHD,Major,No Dorm,USA,7,7,7,5,5,,2,7,1,3,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,1,1,1,1,2,0,5,1,4,6,4,1,0,0,0,0
R_1GUKqfhcyDa6JOc,Survey Complete,THEO,Doctor of Ministry,Grad Yr 1,Biblical Interp & Proclamation,BIBINPRCDM,Major,No Dorm,USA,7,7,7,7,5,1,1,3,4,5,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,0,0,2,0,2,1,5,5,4,1,0,0,0,0
R_3no7ajIeG13l7t7,Survey Complete,THEO,Master of Religion and Pub Lif,Grad Yr 1,Master of Relgion and Pub Life,RELPLFMRPL,Major,No Dorm,USA,5,4,7,2,6,2,1,2,3,5,5,6,6,6,6,4,5,5,5,0,5,5,5,0,5,5,0,0,5,5,5,1,1,0,0,2,0,5,1,4,6,4,1,0,0,0,0
R_eWkz2CwDn5HX1EB,Survey Complete,GAH,Physician Assistant,Grad Yr 2,Physician Assistant,PHYSASTMMS,Major,No Dorm,USA,7,5,6,2,5,1,1,3,4,4,7,7,7,6,7,7,0,0,4,5,5,3,3,3,5,5,5,5,5,5,5,1,0,0,0,2,0,3,1,1,1,1,1,0,0,0,0
R_vkQdMOSSfWZMqBz,Survey Complete,GSAS,Master of Arts,Full Stdng,Bioethics,BIOETHMA,Major,No Dorm,USA,5,5,6,3,4,3,1,5,5,5,7,7,7,4,5,6,4,5,5,5,5,5,5,5,5,4,4,4,4,5,4,1,1,1,1,2,0,1,1,5,4,4,1,0,0,0,0
R_2tnTgd8s0k2u0ZE,Survey Complete,THEO,Master of Divinity,Prof 3,Divinity,MDVDIVIN,Major,No Dorm,USA,3,4,5,3,5,2,2,2,3,4,6,7,7,7,7,6,5,4,4,5,5,5,5,0,4,0,5,0,4,4,5,1,1,1,0,2,0,2,1,5,5,4,1,0,0,0,0
R_11i5MU9pW7ZFUip,Survey Complete,GNUR,Master of Science in Nursing,Grad Yr 1,Family Nurse Practitioner,NRFNP,Major,No Dorm,USA,7,6,6,4,2,1,1,1,1,4,5,7,7,7,5,7,5,5,1,0,0,1,5,1,1,1,5,5,3,1,1,0,0,0,0,2,0,1,1,3,1,1,1,0,0,0,0
R_2zjRv1g7b1YyUZI,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Environmental Health Sciences,EHSPHD,Major,No Dorm,USA,7,2,6,2,2,1,1,1,2,1,6,4,5,6,1,7,4,0,5,5,5,5,5,0,3,0,5,5,5,4,4,1,1,0,1,2,0,3,1,5,7,4,1,0,0,0,0
R_1hQPgXKkuPSkerB,Survey Complete,GBUS,Modular Executive MBA,Grad Yr 1,Business Administration,BUSMBAME,Major,No Dorm,USA,1,1,1,1,1,1,1,1,1,5,1,1,1,7,7,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,2,0,1,1,5,6,6,1,1,1,1,I identify as an Apache helicopter.
R_eXoT7LUKz6UwFK9,Survey Complete,THEO,Master of Divinity,Prof 1,Divinity,MDVDIVIN,Major,No Dorm,USA,6,3,5,1,1,1,1,1,2,2,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3,1,0,0,0,2,0,1,1,5,5,3,1,0,0,0,0
R_300oe4uxoOqnlLD,Survey Complete,GAH,Physician Assistant,Grad Yr 1,Physician Assistant,PHYSASTMMS,Major,No Dorm,USA,2,2,2,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1,1,5,3,3,1,0,0,0,0
R_2X68qQJvfaIQ4jm,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Epidemiology,EPIDPHD,Major,No Dorm,USA,5,2,5,6,7,1,1,6,2,2,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,1,1,1,2,0,2,1,5,6,4,1,0,0,0,0
R_SV3M8PCb5bceS7n,Survey Complete,THEO,Doctor of Ministry,Grad Yr 2,Chrch Leadrship & Comm Witness,CHLDCMWTDM,Major,No Dorm,USA,5,5,5,2,5,1,1,1,1,3,5,5,5,6,3,3,3,5,5,4,4,0,4,5,5,0,3,5,0,1,1,1,1,1,1,2,0,2,1,1,4,4,0,0,1,0,0
R_1gdoOdbDPEkjzW5,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Art History,ARTHISTPHD,Major,No Dorm,USA,6,6,5,3,7,3,2,5,3,3,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,1,1,0,2,0,3,1,4,4,4,1,0,0,0,0
R_yTOlYKhE9SencuR,Survey Not Complete,MED,Doctor of Medicine,Prof 4,Doctor of Medicine,MEDDOCTR,Major,No Dorm,USA,7,5,3,1,4,1,1,1,5,3,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_3CPoe2V7PLrPVnr,Survey Complete,GBUS,Master of Business Admin.,Grad Yr 1,Business Administration,BUSMBA,Major,No Dorm,USA,5,3,5,5,2,2,2,6,3,5,5,6,5,3,3,5,3,4,5,4,4,5,5,3,5,5,5,5,5,4,3,1,0,0,0,2,0,1,1,5,4,4,1,0,0,0,0
R_2Vz1wYTlvkO2Gic,Survey Complete,GAH,Non-Degree Grad Allied Health,ND Grad,Special Standing Student,SPECSTGAH,Non-Degree,No Dorm,USA,5,6,6,6,5,1,1,5,3,3,7,7,6,6,6,6,5,5,4,5,5,4,4,4,4,4,5,4,5,5,5,1,1,1,0,2,0,5,1,2,7,4,1,0,0,0,0
R_2QJOUDPtwXFQf43,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Environmental Health Sciences,EHSPHD,Major,No Dorm,USA,6,6,7,5,3,1,1,1,5,5,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,1,0,2,0,2,1,4,6,4,1,0,0,0,0
R_1QfKJKIecYzxgKC,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Mathematics,MATHPHD,Major,No Dorm,USA,6,6,6,3,3,1,1,5,3,2,6,7,7,7,5,3,4,5,5,5,0,5,5,3,2,3,3,5,4,2,1,1,1,0,1,2,0,4,1,6,5,4,0,0,1,0,0
R_6ApsIH0878YvBG9,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Epidemiology,EPIDPHD,Major,No Dorm,USA,5,3,3,5,4,1,1,3,3,5,5,4,4,6,4,5,0,0,0,4,4,0,5,0,5,4,5,5,5,3,1,1,1,0,0,2,0,5,1,3,3,1,0,0,1,0,0
R_1K3xI3nC9Ehgo86,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Nursing,NURSINGPHD,Major,No Dorm,GLP,4,6,6,5,4,2,2,5,2,4,7,7,7,6,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,0,2,0,5,1,4,7,4,1,0,0,0,0
R_9ZEnM5ogo2uvw8V,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Anthropology,ANTHPHD,Major,No Dorm,USA,6,5,5,5,4,2,2,5,3,3,5,5,5,2,4,5,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,1,1,1,1,2,0,4,1,7,7,4,1,0,0,0,0
R_3KCKuaVCDPxnUNv,Survey Not Complete,GSAS,Doctor of Philosophy,Adv Stdng,Biostatistics,BIOSTATPHD,Major,No Dorm,USA,7,7,7,5,3,1,1,3,2,3,7,7,6,6,7,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_3xh4GgIXEVmSXyp,Survey Complete,GBUS,Master of Business Admin.,Grad Yr 1,Business Administration,BUSMBA,Major,No Dorm,USA,7,5,7,7,6,3,3,2,4,5,6,5,5,4,3,4,0,3,4,4,4,4,5,3,3,5,3,0,4,4,4,1,1,1,0,2,0,1,1,3,3,1,0,0,1,0,0
R_2QE4ly3D1bbQw1W,Survey Complete,PUBH,Master of Public Health,Grad Yr 1,Global Health,IHMPH,Major,No Dorm,USA,4,6,4,2,4,2,2,4,3,3,6,6,6,6,6,6,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,1,0,1,0,2,0,1,1,4,6,1,1,0,0,0,0
R_W7HiuUfyQ9dSYyB,Survey Not Complete,GBUS,Weekend Executive MBA,Grad Yr 1,Business Administration,BUSMBAEX,Major,No Dorm,USA,7,6,7,4,6,1,1,5,1,1,7,7,7,7,7,5,5,5,0,5,5,5,5,0,5,5,4,0,5,1,1,1,1,1,1,2,0,1,1,5,4,4,1,0,0,0,0
R_27wjJFE7XRam5jq,Survey Complete,GSAS,Master of Development Practice,Full Stdng,Master of Development Practice,DEVPRACMDP,Major,No Dorm,USA,4,4,6,2,5,5,6,4,4,5,6,7,6,6,5,4,5,3,5,3,0,4,5,5,4,3,4,4,5,0,4,1,1,1,1,2,0,2,1,3,1,3,1,0,0,0,0
R_2frnVtOczgPLL62,Survey Complete,GSAS,Doctor of Philosophy,Full Stdng,History,HISTORYPHD,Major,No Dorm,USA,7,5,7,3,5,1,2,2,2,2,7,7,7,6,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,1,1,1,1,2,0,1,1,5,1,4,1,0,0,0,0
R_AGrOQ1WqKbHZViF,Survey Complete,THEO,Master Theological Stdy,Grad Yr 1,Theological Studies,THEOLSTMTS,Major,No Dorm,USA,5,3,5,5,3,,1,7,3,3,7,7,7,4,7,7,4,3,0,4,5,5,5,4,5,5,5,4,0,3,2,1,1,1,0,2,0,1,1,6,5,6,1,0,0,0,0
R_3lzy82QKy6jNUv5,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Biological and Biomedical Sci.,BBSPHD,Major,No Dorm,USA,6,3,5,6,5,1,1,1,2,3,3,2,2,5,4,3,3,3,3,3,4,3,4,4,4,3,3,3,4,2,2,1,0,0,0,2,0,3,1,5,6,3,1,0,0,0,0
R_PGkHVxGLHbRyFax,Survey Complete,PUBH,Master of Public Health,Grad Yr 1,Epidemiology,EPIMPH,Major,No Dorm,USA,5,5,3,5,4,1,1,3,3,5,7,7,7,7,7,7,5,5,4,5,5,5,5,5,5,5,5,5,5,3,2,1,1,0,0,2,0,4,1,1,5,1,1,0,0,0,0
R_1CanrN2KsjVMMN5,Survey Not Complete,PUBH,Master of Public Health,Grad Yr 1,Global Health,IHMPH,Major,No Dorm,USA,7,7,6,2,4,4,3,6,4,5,6,7,7,6,6,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_03c6pPZWuaiFgoF,Survey Complete,GBUS,Evening MBA,Grad Yr 1,Business Administration,BUSMBAEV,Major,No Dorm,USA,7,7,4,4,4,1,1,4,3,3,4,4,3,5,4,3,4,4,5,4,3,5,5,5,4,4,3,5,4,4,4,1,1,0,0,2,0,1,1,4,5,4,1,0,0,0,0
R_3MhYV5Gfoj5hVG1,Survey Complete,MED,Doctor of Medicine,Prof 3,Doctor of Medicine,MEDDOCTR,Major,No Dorm,USA,6,7,6,5,5,1,1,2,3,4,7,5,5,5,5,5,5,5,5,5,5,5,5,2,5,3,5,5,5,4,5,1,1,1,1,2,0,3,1,6,6,4,0,0,1,0,0
R_10uQwSX3Ck6MzXS,Survey Complete,LAW,Doctor of Law,Prof 1,Law,LAWJD,Major,No Dorm,USA,2,2,6,1,1,1,1,1,1,1,4,1,1,6,1,3,5,3,4,4,1,3,3,3,1,1,3,5,1,1,5,1,1,1,1,2,0,1,1,4,1,4,0,0,1,0,0
